start_time,cpu,memory,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos
2019-04-30 23:55:00,0.007979890398042127,0.0014501600330168775,23,1,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
2019-05-01 00:00:00,0.002263419545981772,0.0005156139252537129,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:05:00,0.0015178603146721818,0.00029005321208953167,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:10:00,0.001717818970422898,0.00045863321203581736,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:15:00,0.003867124693334157,0.0007412964702072769,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:20:00,0.006321556844874034,0.0008500193757809352,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:25:00,0.003979644305307804,0.0008879765927308932,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:30:00,0.0032949398179452413,0.0008097562589517165,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:35:00,0.0027201618292232994,0.0004577528524602704,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:40:00,0.0023828281173649706,0.0005835182607635339,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:45:00,0.0018762637142354576,0.00035400034330089665,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:50:00,0.0023546300193547785,0.0005145152765018727,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 00:55:00,0.0019896930936228706,0.0003591636885795142,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2019-05-01 01:00:00,0.005631908361303792,0.0009095628133098997,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:05:00,0.0032162212574349306,0.0006258093869211284,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:10:00,0.0019967113990957967,0.00034977719889550966,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:15:00,0.005691084385669226,0.0011504730032769125,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:20:00,0.005383348672881094,0.0007242474475860021,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:25:00,0.0016284388277912657,0.00029175123394840316,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:30:00,0.0035861007968436007,0.0007352778268308151,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:35:00,0.00232507587035917,0.0005690767782886867,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:40:00,0.005268610860728351,0.0009211201700055998,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:45:00,0.0051292268162622156,0.0009574615932904197,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:50:00,0.002513387775143926,0.0006251364579659389,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 01:55:00,0.0020065016392681366,0.0004242279491102768,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2019-05-01 02:00:00,0.004654933989078056,0.0007435008082335433,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:05:00,0.0027985369574389856,0.0005465071242532729,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:10:00,0.002595639398023177,0.000529964196720402,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:15:00,0.006613741187417564,0.0011264214652774468,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:20:00,0.005448236429238578,0.0010770067677164756,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:25:00,0.0017174776328132695,0.00029712724719601735,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:30:00,0.004162821394423673,0.0007191395176063355,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:35:00,0.003998429547260641,0.0011627714248765887,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:40:00,0.0020432555340483775,0.00047094721459809726,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:45:00,0.004345225472140675,0.0008797688099567051,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:50:00,0.0047400521481018795,0.0011398290271930137,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 02:55:00,0.004886205500719201,0.0010354473974342772,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2019-05-01 03:00:00,0.0019211410320860425,0.00032243371376973977,3,2,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434
