cluster,time,cpu,memory
6,0,0.010205362717094765,0.003970493891857801
6,300,0.008719862010231373,0.0032187954752985
6,600,0.007007549089550659,0.0026004025083860402
6,900,0.008682827321574299,0.00280064408792496
6,1200,0.01002856880951152,0.0028629797603037404
6,1500,0.004524210509458919,0.0008203858143582
6,1800,0.00474440042650214,0.00144384912527128
6,2100,0.00477281340441592,0.001635421573122
6,2400,0.00259920469963472,0.001265202294036333
6,2700,0.00334797747486502,0.003236118074175693
6,3000,0.00885233577491762,0.004538702657365253
6,3300,0.010233231882228522,0.003991635760940993
6,3600,0.01048495848628546,0.004009925620941053
6,3900,0.0123323274836333,0.00431350647474258
6,4200,0.01162598441541832,0.002408908241919
6,4500,0.00672019183317564,0.00220270233617088
6,4800,0.0043895534282484,0.0019877081751109
6,5100,0.00468783592927614,0.00192136625390592
6,5400,0.0038289161344487203,0.00244815528670558
6,5700,0.00279592660608624,0.00365062653211136
6,6000,0.0021281361804672315,0.0024871216013819114
6,6300,0.003612915760950572,0.003502805743696411
6,6600,0.0030432659005200516,0.0034790158145821316
6,6900,0.004321970068291192,0.003902482708259631
6,7200,0.006182053740202431,0.0034261583703417914
6,7500,0.0062133317820319,0.00356972771425284
6,7800,0.0053737608001807,0.0033981496793823603
6,8100,0.00564969861312502,0.003976535428148879
6,8400,0.00892351527933804,0.00399472896187632
6,8700,0.00672064618782924,0.00314221672574446
6,9000,0.0068523798484915605,0.0033336727538222596
6,9300,0.0061361154929833,0.00332303918287676
6,9600,0.005862847410539261,0.0026918512233543397
6,9900,0.0007820873382666599,0.00190042071858816
6,10200,0.0033286975628017803,0.0039313842800556605
6,10500,0.0032053547397274404,0.00372620496116546
6,10800,0.0062961910906081196,0.0030559097579223402
6,11100,0.0064124804714216594,0.00303093345915808
6,11400,0.00601995882316418,0.00299287808847908
6,11700,0.00347468353324826,0.0009125283973032
6,12000,0.0041408212440374,0.00161976565561592
6,12300,0.00209658244762994,0.0016049039410054402
6,12600,0.0025450925205159403,0.00277429390532314
6,12900,0.007137640869516121,0.00292495075344714
6,13200,0.007462718089742021,0.0039710797122909204
6,13500,0.00915319420559678,0.0044506598543661
6,13800,0.01281314402119568,0.00636135533447354
6,14100,0.01687443423154104,0.00552783558946444
6,14400,0.013252738034115119,0.007028524406609379
6,14700,0.014187031296274499,0.00617239917705226
6,15000,0.012544445261510578,0.005568182869737261
6,15300,0.0078152050631583,0.00507201040880312
6,15600,0.00430688399423662,0.00678197551064124
6,15900,0.004605652955081941,0.00498481076307448
6,16200,0.0033798436150746596,0.00485582287168436
6,16500,0.00819972995163892,0.00588705003918928
6,16800,0.01090427333284774,0.00638322250012342
6,17100,0.01531717704592476,0.00530953846853146
6,17400,0.0144667129455745,0.0052912559928429805
6,17700,0.014429528388499918,0.005345010774149219
6,18000,0.010083363643256679,0.0038708492530798
6,18300,0.007432211054360119,0.0018944060179281
6,18600,0.00192995009873582,0.00107301839346582
6,18900,0.00159961115974482,0.00088323902630496
6,19200,0.0016501423332187602,0.00120051712914852
6,19500,0.00050376988690868,0.00116546670597734
6,19800,0.00085322275932762,0.00127810132182238
6,20100,0.0008259555660567999,0.00120721271718556
6,20400,0.00183088776815456,0.00304595802495966
6,20700,0.00339616285691106,0.0026840759111919402
6,21000,0.0033483021218868995,0.0024789840498137404
6,21300,0.0029307734902165043,0.00237645121898486
6,21600,0.003922961301233365,0.00275575563678856
6,21900,0.0028745779743333446,0.0009762880843272599
6,22200,0.0017461984358215048,0.0019795666197743996
6,22500,0.0018495327819185847,0.00284804937892974
6,22800,0.00262521412823786,0.00291207901605126
6,23100,0.00227729151023324,0.0025318216232741004
6,23400,0.00217663159467972,0.00255449881866292
6,23700,0.00311877798764966,0.0017596681563009403
6,24000,0.00530314183696438,0.0029715350883214803
6,24300,0.0047030373103409,0.0028167616939955803
6,24600,0.00866582880107888,0.0031894096053579806
6,24900,0.00902762502029214,0.0032873303163057006
6,25200,0.01171939899150016,0.0032164747922622805
6,25500,0.009833489643508539,0.0016975305821573202
6,25800,0.015217000521187119,0.00375461578949724
