cluster,start_time,cpu,memory
1,145,0.00010489867274653099,0.0015532821681557205
1,280,0.008432970273033333,0.006024297892121637
1,345,0.0002879681767390014,0.009776560489947059
1,430,0.004908891127289423,0.006577745391284643
1,635,0.005387074948740626,0.004802596996143865
1,820,0.0004033228902271382,0.0018484187947538414
1,1050,0.007085434620613129,0.002803683192079432
1,1195,0.000645429177975887,0.003560396203914417
1,1365,0.000195484126596305,0.00025555206058731184
1,1370,0.004870930234596512,0.0042405688191817035
1,1445,0.00029845551875563224,0.0012637732456399987
1,1570,0.00016401853064724044,0.0012752028185169847
1,1625,0.009068255870391714,0.006933912581442676
1,1660,0.0002536451975010343,0.0021529846194929705
1,1850,0.016281815198358324,0.009776560489947059
1,1910,0.00018690269861803202,0.000784566109906989
1,1934,0.0007197650158893732,0.0020958855926352044
1,1950,0.00021360023272095016,0.0002526917645943462
1,2190,0.00022504181486305357,0.0038036395510780063
1,2215,0.016281815198358324,0.00959735241261741
1,2420,0.00020883286819156342,0.0034045373357045033
1,2452,9.536288445621604e-05,1.9073468138254095e-06
1,2455,0.0022595607473025,0.0010218166347098847
1,2495,0.016281815198358324,0.009776560489947059
1,2500,0.011333844079688456,0.005751252064234085
1,2584,8.773418835291701e-05,9.536738616591883e-07
1,2765,0.002605854739137534,0.0018446111348844776
1,2790,0.016281815198358324,0.0019512201312617493
1,2835,0.0001573438830090159,0.0015761345664206945
1,2975,0.00016783259500958119,0.0013666346989725424
1,3150,0.00027271366474007847,0.0038416409799363043
1,3240,0.00031752313155782383,0.0010637345708292773
1,3270,9.154854367919205e-05,0.0006444761185359523
1,3491,1.2397689261614142e-05,9.536738616591883e-07
1,3620,0.00023743671445737463,0.003628814375807554
1,3727,0.006047048346183763,0.0022900089834004753
1,3845,0.008690158301591892,0.0036668224487268167
1,4025,0.00019643761404817184,0.0019283763030920316
1,4310,0.016281815198358324,0.009776560489947059
1,4325,0.0006187431703058884,0.0019340873090571927
1,4345,0.002335679599314728,0.0006139777368539661
1,4355,0.00800922221517691,0.008478361202420407
1,4436,0.002910189997204192,0.0003537505942665665
1,4484,6.0079677113648556e-05,9.536738616591883e-07
1,4525,0.00016973962173560782,0.001359015694890624
1,4560,1.4305012428915572e-05,9.536738616591883e-07
1,4620,0.004874247516854777,0.006939994756951375
1,4625,0.01275100095790263,0.005804350147785017
1,4710,0.004442187548575132,0.002779572627218959
1,4735,7.056940933472144e-05,0.0005663221532784986
